[2026-05-08 15:47:53,615] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:47:53,617] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:47:53,644] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:47:53,655] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:47:53,657] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:47:53,658] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:47:53,840] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:47:54,028] INFO django.server "GET / HTTP/1.1" 200 606891
[2026-05-08 15:47:54,113] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:47:58,000] INFO tracking_app.views login_view: request method=POST
[2026-05-08 15:47:58,001] INFO tracking_app.views login_view: authenticating username=Admin
[2026-05-08 15:47:59,819] INFO tracking_app.views login_view: authentication success username=Admin
[2026-05-08 15:48:00,202] INFO django.server "POST /login/ HTTP/1.1" 200 52
[2026-05-08 15:48:00,252] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:48:00,253] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 15:48:00,253] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 15:48:00,255] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
[2026-05-08 15:48:01,314] INFO tracking_app.views user_map_auth_view: associated vessels status_code=200
[2026-05-08 15:48:01,315] INFO tracking_app.views user_map_auth_view: associated vessel ids count=4
[2026-05-08 15:48:01,315] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=627,727,831,931
[2026-05-08 15:48:02,320] INFO tracking_app.views user_map_auth_view: latest records status_code=200
[2026-05-08 15:48:02,321] INFO tracking_app.views user_map_auth_view: latest records cached count=0
[2026-05-08 15:48:02,321] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:48:02,323] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:48:02,350] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:48:02,350] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=0
[2026-05-08 15:48:02,351] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:48:02,351] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:48:02,356] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:48:02,479] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 28376
[2026-05-08 15:48:02,558] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
[2026-05-08 15:48:02,572] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:53:49,275] INFO django.utils.autoreload Watching for file changes with StatReloader
[2026-05-08 15:54:19,523] INFO tracking_app.views allmaps_view: request started
[2026-05-08 15:54:19,534] INFO tracking_app.views allmaps_view: loaded 0 records from session
[2026-05-08 15:54:19,535] INFO tracking_app.views allmaps_view: fetching vessel data from API url=https://shiptrackingapi-787201059405.asia-south2.run.app/VesselTracking/GetAll
[2026-05-08 15:54:21,335] INFO tracking_app.views allmaps_view: API response status_code=200
[2026-05-08 15:54:21,352] INFO tracking_app.views allmaps_view: API records loaded count=1113
[2026-05-08 15:54:21,355] INFO tracking_app.views allmaps_view: stored records in session count=1113
[2026-05-08 15:54:21,356] INFO tracking_app.views allmaps_view: creating base map
[2026-05-08 15:54:21,361] INFO tracking_app.views allmaps_view: adding tile layers
[2026-05-08 15:54:21,399] INFO tracking_app.views allmaps_view: grouping vessel records into routes
[2026-05-08 15:54:21,409] INFO tracking_app.views allmaps_view: route grouping complete route_count=10
[2026-05-08 15:54:21,429] INFO tracking_app.views allmaps_view: preparing vessel JavaScript data
[2026-05-08 15:54:21,430] INFO tracking_app.views allmaps_view: building map JavaScript
[2026-05-08 15:54:21,657] INFO tracking_app.views allmaps_view: rendering template
[2026-05-08 15:54:22,160] INFO django.server "GET / HTTP/1.1" 200 606934
[2026-05-08 15:54:22,215] INFO django.server "GET /static/images/VitalitySeaWaysLLP.png HTTP/1.1" 304 0
[2026-05-08 15:54:22,856] INFO django.server "GET /static/js/bootstrap.bundle.min.js HTTP/1.1" 200 3042
[2026-05-08 15:54:22,867] INFO django.server "GET /static/css/bootstrap.min.css HTTP/1.1" 200 232873
[2026-05-08 15:54:22,984] WARNING django.request Not Found: /favicon.ico
[2026-05-08 15:54:22,994] WARNING django.server "GET /favicon.ico HTTP/1.1" 404 4285
